rosbagTimestamp,controller_name,log,-,name,stamp,secs,nsecs,values
1543504711713075845,'',,"""Drone1_pos""",,1543504711,712922866,"[0.9676235318183899, -0.026124821975827217, 0.03572685644030571]"
1543504711723170989,'',,"""Drone1_pos""",,1543504711,722962601,"[0.9675662517547607, -0.02584647946059704, 0.03565753996372223]"
1543504711733226241,'',,"""Drone1_pos""",,1543504711,732955301,"[0.9676312804222107, -0.02598579227924347, 0.035645991563797]"
1543504711743503680,'',,"""Drone1_pos""",,1543504711,743285094,"[0.9675866365432739, -0.025973228737711906, 0.035752009600400925]"
1543504711753182161,'',,"""Drone1_pos""",,1543504711,752882868,"[0.9676046967506409, -0.025797618553042412, 0.0356096550822258]"
1543504711763253155,'',,"""Drone1_pos""",,1543504711,763027629,"[0.9675833582878113, -0.026006583124399185, 0.03585585579276085]"
1543504711773276088,'',,"""Drone1_pos""",,1543504711,773107821,"[0.9675947427749634, -0.02618960477411747, 0.035854682326316833]"
1543504711783205076,'',,"""Drone1_pos""",,1543504711,783009171,"[0.9676007032394409, -0.026112008839845657, 0.03573428466916084]"
1543504711793016638,'',,"""Drone1_pos""",,1543504711,792814551,"[0.9676336050033569, -0.02597631886601448, 0.035626523196697235]"
1543504711803228168,'',,"""Drone1_pos""",,1543504711,803052359,"[0.9676057696342468, -0.026050055399537086, 0.035655565559864044]"
1543504711813753713,'',,"""Drone1_pos""",,1543504711,813434268,"[0.9676400423049927, -0.026128672063350677, 0.03574109822511673]"
1543504711823079160,'',,"""Drone1_pos""",,1543504711,822937391,"[0.9675734043121338, -0.026160212233662605, 0.03592485189437866]"
1543504711833338947,'',,"""Drone1_pos""",,1543504711,833158567,"[0.9676291346549988, -0.02593044564127922, 0.03556165099143982]"
1543504711843582126,'',,"""Drone1_pos""",,1543504711,842906595,"[0.967563807964325, -0.02600690722465515, 0.0357620008289814]"
1543504711853481544,'',,"""Drone1_pos""",,1543504711,853197742,"[0.9676035642623901, -0.026133839040994644, 0.0357564277946949]"
1543504711863737758,'',,"""Drone1_pos""",,1543504711,862945559,"[0.9676048159599304, -0.026176203042268753, 0.035775233060121536]"
1543504711873110494,'',,"""Drone1_pos""",,1543504711,872823388,"[0.9676257371902466, -0.026123464107513428, 0.03579762205481529]"
1543504711883857695,'',,"""Drone1_pos""",,1543504711,883595710,"[0.9676370620727539, -0.02587285451591015, 0.035565730184316635]"
1543504711893256531,'',,"""Drone1_pos""",,1543504711,893047639,"[0.9675632119178772, -0.02578691765666008, 0.03561069071292877]"
1543504711903205151,'',,"""Drone1_pos""",,1543504711,903011788,"[0.9676169753074646, -0.02605808712542057, 0.03571407496929169]"
1543504711913073746,'',,"""Drone1_pos""",,1543504711,912895589,"[0.9676046967506409, -0.026175372302532196, 0.03581893444061279]"
1543504711923179264,'',,"""Drone1_pos""",,1543504711,923002205,"[0.9676120281219482, -0.02601383812725544, 0.03567318990826607]"
1543504711933313720,'',,"""Drone1_pos""",,1543504711,933146533,"[0.9676235318183899, -0.025886140763759613, 0.035545267164707184]"
1543504711943770258,'',,"""Drone1_pos""",,1543504711,943505405,"[0.9676140546798706, -0.026136253029108047, 0.03576187044382095]"
1543504711953182244,'',,"""Drone1_pos""",,1543504711,953006079,"[0.9675929546356201, -0.026082513853907585, 0.03584295138716698]"
1543504711963165856,'',,"""Drone1_pos""",,1543504711,962865592,"[0.9676061868667603, -0.025929953902959824, 0.03562730550765991]"
1543504711973170159,'',,"""Drone1_pos""",,1543504711,972981323,"[0.9675878882408142, -0.025841930881142616, 0.03563106805086136]"
1543504711983974246,'',,"""Drone1_pos""",,1543504711,983351631,"[0.967551589012146, -0.02602839656174183, 0.03576396778225899]"
1543504711993357612,'',,"""Drone1_pos""",,1543504711,993126751,"[0.967615008354187, -0.02613922953605652, 0.035766877233982086]"
1543504712003240925,'',,"""Drone1_pos""",,1543504712,3014159,"[0.9676334261894226, -0.026057809591293335, 0.035670410841703415]"
1543504712013033789,'',,"""Drone1_pos""",,1543504712,12757385,"[0.9676133394241333, -0.026107870042324066, 0.035699423402547836]"
1543504712023377916,'',,"""Drone1_pos""",,1543504712,23175586,"[0.9675673842430115, -0.02607184648513794, 0.03582695126533508]"
1543504712033188536,'',,"""Drone1_pos""",,1543504712,32876097,"[0.9676046967506409, -0.026103319600224495, 0.035794276744127274]"
1543504712043209419,'',,"""Drone1_pos""",,1543504712,42898573,"[0.9676037430763245, -0.026221854612231255, 0.03584389016032219]"
1543504712053244039,'',,"""Drone1_pos""",,1543504712,53069563,"[0.9676476716995239, -0.025973213836550713, 0.035610608756542206]"
1543504712063233871,'',,"""Drone1_pos""",,1543504712,63065423,"[0.9676065444946289, -0.025919854640960693, 0.035600077360868454]"
1543504712073162497,'',,"""Drone1_pos""",,1543504712,72892609,"[0.9676308631896973, -0.02605091594159603, 0.03567039221525192]"
1543504712083480485,'',,"""Drone1_pos""",,1543504712,83206357,"[0.9675827622413635, -0.02616288512945175, 0.035912200808525085]"
1543504712093453954,'',,"""Drone1_pos""",,1543504712,93183833,"[0.9676324725151062, -0.02600385993719101, 0.035652343183755875]"
1543504712104629671,'',,"""Drone1_pos""",,1543504712,104408198,"[0.9676138162612915, -0.02618941105902195, 0.03576318174600601]"
1543504712114146426,'',,"""Drone1_pos""",,1543504712,113763702,"[0.9676281213760376, -0.02620738372206688, 0.035791002213954926]"
1543504712123245576,'',,"""Drone1_pos""",,1543504712,123057045,"[0.9675933122634888, -0.02609386295080185, 0.03573340177536011]"
1543504712133045116,'',,"""Drone1_pos""",,1543504712,132905686,"[0.9676192998886108, -0.025927187874913216, 0.0355566069483757]"
1543504712143361084,'',,"""Drone1_pos""",,1543504712,142980670,"[0.9676045775413513, -0.026103319600224495, 0.035699523985385895]"
1543504712153376329,'',,"""Drone1_pos""",,1543504712,153165356,"[0.9675856232643127, -0.02583935856819153, 0.03556685149669647]"
1543504712163114340,'',,"""Drone1_pos""",,1543504712,162957947,"[0.9675783514976501, -0.026170453056693077, 0.035819873213768005]"
1543504712173864694,'',,"""Drone1_pos""",,1543504712,173117406,"[0.9676215648651123, -0.026089811697602272, 0.03573036566376686]"
1543504712183291155,'',,"""Drone1_pos""",,1543504712,182967129,"[0.9676195383071899, -0.026208193972706795, 0.03582768142223358]"
1543504712193160995,'',,"""Drone1_pos""",,1543504712,192949419,"[0.967608630657196, -0.026091916486620903, 0.035678964108228683]"
1543504712203300634,'',,"""Drone1_pos""",,1543504712,203150128,"[0.9676365256309509, -0.02589561603963375, 0.035491134971380234]"
1543504712213798166,'',,"""Drone1_pos""",,1543504712,213655420,"[0.967583954334259, -0.026066813617944717, 0.035833973437547684]"
1543504712223266476,'',,"""Drone1_pos""",,1543504712,223098940,"[0.9676329493522644, -0.025934405624866486, 0.0356200635433197]"
1543504712233239641,'',,"""Drone1_pos""",,1543504712,233033887,"[0.9676238298416138, -0.026020359247922897, 0.03563622385263443]"
1543504712243816420,'',,"""Drone1_pos""",,1543504712,243538128,"[0.9676019549369812, -0.026110388338565826, 0.03570069745182991]"
1543504712253169676,'',,"""Drone1_pos""",,1543504712,253014562,"[0.9676023721694946, -0.02587726153433323, 0.03561711311340332]"
1543504712263706847,'',,"""Drone1_pos""",,1543504712,263544465,"[0.9675959944725037, -0.026078585535287857, 0.0357317253947258]"
1543504712274277933,'',,"""Drone1_pos""",,1543504712,273545422,"[0.9676284193992615, -0.02615845948457718, 0.03578345105051994]"
1543504712283259518,'',,"""Drone1_pos""",,1543504712,283106190,"[0.967609703540802, -0.02611670456826687, 0.03573151305317879]"
1543504712293311506,'',,"""Drone1_pos""",,1543504712,292906833,"[0.9676472544670105, -0.025862419977784157, 0.0354345329105854]"
1543504712303677994,'',,"""Drone1_pos""",,1543504712,302993796,"[0.9676021337509155, -0.026090584695339203, 0.0357019379734993]"
1543504712313323010,'',,"""Drone1_pos""",,1543504712,312953241,"[0.9676176309585571, -0.02622310258448124, 0.035828471183776855]"
1543504712323269672,'',,"""Drone1_pos""",,1543504712,322908464,"[0.9676195383071899, -0.025915775448083878, 0.03560219332575798]"
1543504712333278938,'',,"""Drone1_pos""",,1543504712,333103365,"[0.9675883054733276, -0.025986582040786743, 0.03564564511179924]"
1543504712343237476,'',,"""Drone1_pos""",,1543504712,343106590,"[0.9676281809806824, -0.025886980816721916, 0.03552334010601044]"
1543504712353239296,'',,"""Drone1_pos""",,1543504712,352960869,"[0.9675890207290649, -0.026082560420036316, 0.03573109209537506]"
1543504712363585305,'',,"""Drone1_pos""",,1543504712,363406904,"[0.9675987958908081, -0.026191506534814835, 0.03578467667102814]"
1543504712373288863,'',,"""Drone1_pos""",,1543504712,373078076,"[0.9676268696784973, -0.025930209085345268, 0.0355510488152504]"
1543504712383570939,'',,"""Drone1_pos""",,1543504712,383331643,"[0.967613935470581, -0.02617376670241356, 0.03581753373146057]"
1543504712393351698,'',,"""Drone1_pos""",,1543504712,393127876,"[0.9676443338394165, -0.026058398187160492, 0.03568756580352783]"
1543504712403528047,'',,"""Drone1_pos""",,1543504712,403362682,"[0.9676365852355957, -0.02612663060426712, 0.035725001245737076]"
1543504712413786781,'',,"""Drone1_pos""",,1543504712,413196404,"[0.9675794839859009, -0.02586311474442482, 0.035648226737976074]"
1543504712423626752,'',,"""Drone1_pos""",,1543504712,423469630,"[0.9675620794296265, -0.02603929303586483, 0.0358419194817543]"
1543504712433263483,'',,"""Drone1_pos""",,1543504712,433104534,"[0.9675858020782471, -0.026018425822257996, 0.03571953997015953]"
1543504712443422459,'',,"""Drone1_pos""",,1543504712,443095401,"[0.9676234722137451, -0.025903189554810524, 0.03550393134355545]"
1543504712453226263,'',,"""Drone1_pos""",,1543504712,453001175,"[0.9676104784011841, -0.026141852140426636, 0.03574829176068306]"
1543504712463435007,'',,"""Drone1_pos""",,1543504712,463245599,"[0.9676427841186523, -0.02598566748201847, 0.03559652715921402]"
1543504712473214574,'',,"""Drone1_pos""",,1543504712,473055855,"[0.9675904512405396, -0.025928016752004623, 0.03572716563940048]"
1543504712483400481,'',,"""Drone1_pos""",,1543504712,483076693,"[0.9675544500350952, -0.026058871299028397, 0.035889651626348495]"
1543504712493080675,'',,"""Drone1_pos""",,1543504712,492836019,"[0.967616081237793, -0.02619694359600544, 0.035809263586997986]"
1543504712503357781,'',,"""Drone1_pos""",,1543504712,503055089,"[0.9676029682159424, -0.026198485866189003, 0.03577466681599617]"
1543504712513291430,'',,"""Drone1_pos""",,1543504712,513001677,"[0.9676309823989868, -0.025930745527148247, 0.03553779423236847]"
1543504712523258262,'',,"""Drone1_pos""",,1543504712,523069796,"[0.9676164984703064, -0.025988398119807243, 0.03565621376037598]"
1543504712533382263,'',,"""Drone1_pos""",,1543504712,533171031,"[0.967616856098175, -0.026164786890149117, 0.035780612379312515]"
1543504712543608687,'',,"""Drone1_pos""",,1543504712,543330381,"[0.967592716217041, -0.026045722886919975, 0.03577924147248268]"
1543504712553302970,'',,"""Drone1_pos""",,1543504712,553097010,"[0.9676233530044556, -0.02590193971991539, 0.03551232069730759]"
1543504712563576066,'',,"""Drone1_pos""",,1543504712,563395610,"[0.9676058888435364, -0.026191463693976402, 0.035782162100076675]"
1543504712573360427,'',,"""Drone1_pos""",,1543504712,573079787,"[0.967605710029602, -0.02618764154613018, 0.035788677632808685]"
1543504712583634214,'',,"""Drone1_pos""",,1543504712,583378650,"[0.9676077365875244, -0.02614232711493969, 0.035731423646211624]"
1543504712593129513,'',,"""Drone1_pos""",,1543504712,592969195,"[0.9676303863525391, -0.0261544119566679, 0.03577347472310066]"
1543504712603546610,'',,"""Drone1_pos""",,1543504712,603302026,"[0.9675792455673218, -0.025866327807307243, 0.035639747977256775]"
1543504712613136869,'',,"""Drone1_pos""",,1543504712,612978421,"[0.9676105380058289, -0.02607596106827259, 0.035697441548109055]"
