rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,group
1543504690444252664,,303,,1543504690,443981441,"""All""",[Takeoff],"['NA, NA']"
1543504690544676661,,304,,1543504690,544482460,"""All""",[Takeoff],"['NA, NA']"
1543504690644192913,,305,,1543504690,643999616,"""All""",[Takeoff],"['NA, NA']"
1543504690744619957,,306,,1543504690,744409441,"""All""",[Takeoff],"['NA, NA']"
1543504690844192977,,307,,1543504690,843813141,"""All""",[Takeoff],"['NA, NA']"
1543504690944527076,,308,,1543504690,944355626,"""All""",[Takeoff],"['NA, NA']"
1543504691045116534,,309,,1543504691,44818768,"""All""",[Takeoff],"['NA, NA']"
1543504691144352603,,310,,1543504691,144228464,"""All""",[Takeoff],"['NA, NA']"
1543504691244968774,,311,,1543504691,244747075,"""All""",[Takeoff],"['NA, NA']"
1543504691344432684,,312,,1543504691,344215030,"""All""",[Takeoff],"['NA, NA']"
1543504691444823020,,313,,1543504691,444621047,"""All""",[Takeoff],"['NA, NA']"
1543504691544265332,,314,,1543504691,543988672,"""All""",[Takeoff],"['NA, NA']"
1543504691644831032,,315,,1543504691,644461647,"""All""",[Takeoff],"['NA, NA']"
1543504691745176320,,316,,1543504691,744948842,"""All""",[Takeoff],"['NA, NA']"
1543504691844602627,,317,,1543504691,844372955,"""All""",[Takeoff],"['NA, NA']"
1543504691944061499,,318,,1543504691,943803283,"""All""",[Takeoff],"['NA, NA']"
1543504692044424971,,319,,1543504692,44147054,"""All""",[Takeoff],"['NA, NA']"
1543504692144779724,,320,,1543504692,144562033,"""All""",[Takeoff],"['NA, NA']"
1543504692244259642,,321,,1543504692,244027801,"""All""",[Takeoff],"['NA, NA']"
1543504692344787742,,322,,1543504692,344538560,"""All""",[Takeoff],"['NA, NA']"
1543504692444131245,,323,,1543504692,443865939,"""All""",[Takeoff],"['NA, NA']"
1543504692544570889,,324,,1543504692,544338830,"""All""",[Takeoff],"['NA, NA']"
1543504692645109934,,325,,1543504692,644835836,"""All""",[Takeoff],"['NA, NA']"
1543504692744564343,,326,,1543504692,744291753,"""All""",[Takeoff],"['NA, NA']"
1543504692844899969,,327,,1543504692,844687899,"""All""",[Takeoff],"['NA, NA']"
1543504692944343593,,328,,1543504692,944111190,"""All""",[Hover],"['NA, NA']"
1543504693044939368,,329,,1543504693,44692555,"""All""",[Hover],"['NA, NA']"
1543504693144499719,,330,,1543504693,144200370,"""All""",[Hover],"['NA, NA']"
